role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,fetched_at,returned_source_name,date,source_sales,current_sales,difference,comparison
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2025-10-01,19488,19488.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2025-11-01,47132,47132.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2025-12-01,65874,65874.0,0.0,exact
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2020-01-01,3530,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2020-02-01,1537,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2020-03-01,2236,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2020-04-01,3999,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2020-05-01,4802,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2020-06-01,1305,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2020-07-01,1329,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2020-08-01,2889,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2020-09-01,3827,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2020-10-01,8311,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2020-11-01,6833,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2020-12-01,4976,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2021-01-01,3129,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2021-02-01,3041,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2021-03-01,5127,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2021-04-01,3837,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2021-05-01,3155,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2021-06-01,3190,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2021-07-01,4313,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2021-08-01,5593,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2021-09-01,6628,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2021-10-01,5881,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2021-11-01,5347,,,outside_panel
