series_name,actual_volume,cold_start,has_prior_review,has_recent_180d_review,absolute_error_BASE,absolute_error_LOCAL_LEXICON_FIXED,series_WMAPE_BASE,series_WMAPE_LOCAL_LEXICON_FIXED,brand,category,WMAPE_improvement_pp,absolute_error_reduction,share_of_best_total_absolute_error,history_group,sentiment_coverage_group,actual_volume_quartile
威兰达,43473.0,False,1,0,20336.54150390625,24571.387939453125,46.779705803386584,56.52103130553016,丰田,SUV,-9.741325502143575,-4234.846435546875,0.011859361474518848,historical,prior_but_not_recent,Q4_high
汉,17279.0,False,1,1,14147.623046875,24536.0615234375,81.87755684284392,141.99931433206496,比亚迪,轿车,-60.12175748922104,-10388.4384765625,0.011842311207022326,historical,recent_180d,Q4_high
海豚,69113.0,False,1,1,22805.966796875,23904.611328125,32.998085449734496,34.58772058530957,比亚迪,轿车,-1.5896351355750724,-1098.64453125,0.011537542256329785,historical,recent_180d,Q4_high
皓影,30199.0,False,1,1,23773.63720703125,22121.56689453125,78.7232597338695,73.25264708941107,本田,SUV,5.470612644458427,1652.0703125,0.010676957233000101,historical,recent_180d,Q4_high
长安X5 PLUS,50256.0,False,1,1,21323.5380859375,21185.33837890625,42.42983541455249,42.154843956753915,长安,SUV,0.2749914577985777,138.19970703125,0.010225087260619688,historical,recent_180d,Q4_high
星瑞,65657.0,False,1,1,19920.25048828125,21083.7255859375,30.339873110683175,32.111923459703455,吉利汽车,轿车,-1.7720503490202795,-1163.47509765625,0.010176043924312383,historical,recent_180d,Q4_high
卡罗拉锐放,67793.0,False,1,1,21311.9677734375,20506.8525390625,31.436826476830205,30.249218265989853,丰田,SUV,1.1876082108403523,805.115234375,0.009897616592301038,historical,recent_180d,Q4_high
艾瑞泽8,50390.0,False,1,1,22051.4208984375,19913.1328125,43.76150208064596,39.51802502976781,奇瑞,轿车,4.243477050878148,2138.2880859375,0.009611058223306686,historical,recent_180d,Q4_high
宋PLUS新能源,1498.0,False,1,1,24024.27294921875,19890.181640625,1603.756538666138,1327.7824860230307,比亚迪,SUV,275.97405264310737,4134.09130859375,0.009599980857868472,historical,recent_180d,Q2
小鹏MONA M03,62312.0,False,0,0,21348.6708984375,19354.8330078125,34.2609303158902,31.06116479620699,小鹏,轿车,3.1997655196832078,1993.837890625,0.009341595252339905,historical,no_prior_review,Q4_high
