series_name,aspect,aspect_zh,mentioned_reviews,scored_mentions,mean_polarity,negative_rate_among_scored,positive_rate_among_scored,brand,category
firefly萤火虫,space,空间,50,50,0.34,0.28,0.62,firefly萤火虫,轿车
firefly萤火虫,value,性价比,40,39,0.5897435897435898,0.15384615384615385,0.7435897435897436,firefly萤火虫,轿车
iCAR 03,appearance,外观,10,10,1.0,0.0,1.0,iCAR,SUV
iCAR 03,comfort,舒适性,10,5,0.4,0.2,0.6,iCAR,SUV
iCAR 03,configuration,配置,9,7,0.7142857142857143,0.0,0.7142857142857143,iCAR,SUV
iCAR 03,control,操控,8,6,1.0,0.0,1.0,iCAR,SUV
iCAR 03,fuel_consumption,能耗/油耗,10,10,-0.6,0.8,0.2,iCAR,SUV
iCAR 03,intelligence,智能化,10,10,0.4,0.2,0.6,iCAR,SUV
iCAR 03,interior,内饰,10,9,0.7777777777777778,0.0,0.7777777777777778,iCAR,SUV
iCAR 03,power,动力,6,6,1.0,0.0,1.0,iCAR,SUV
iCAR 03,space,空间,10,10,0.8,0.1,0.9,iCAR,SUV
iCAR 03,value,性价比,9,9,0.7777777777777778,0.0,0.7777777777777778,iCAR,SUV
世纪,appearance,外观,19,19,0.8421052631578947,0.05263157894736842,0.8947368421052632,别克,MPV
世纪,comfort,舒适性,24,23,0.6086956521739131,0.13043478260869565,0.7391304347826086,别克,MPV
世纪,configuration,配置,21,21,0.5714285714285714,0.09523809523809523,0.6666666666666666,别克,MPV
世纪,control,操控,16,16,-0.3125,0.5,0.1875,别克,MPV
世纪,fuel_consumption,能耗/油耗,10,10,-0.1,0.4,0.3,别克,MPV
世纪,intelligence,智能化,21,21,-0.23809523809523808,0.6190476190476191,0.38095238095238093,别克,MPV
世纪,interior,内饰,21,21,0.8095238095238095,0.047619047619047616,0.8571428571428571,别克,MPV
世纪,power,动力,29,28,-0.5357142857142857,0.7142857142857143,0.17857142857142858,别克,MPV
世纪,space,空间,24,24,0.5833333333333334,0.08333333333333333,0.6666666666666666,别克,MPV
世纪,value,性价比,7,7,0.0,0.14285714285714285,0.14285714285714285,别克,MPV
东风本田S7,appearance,外观,10,10,0.2,0.3,0.5,本田,SUV
东风本田S7,comfort,舒适性,7,7,0.8571428571428571,0.0,0.8571428571428571,本田,SUV
东风本田S7,configuration,配置,11,11,-0.09090909090909091,0.45454545454545453,0.36363636363636365,本田,SUV
东风本田S7,control,操控,12,12,0.75,0.08333333333333333,0.8333333333333334,本田,SUV
东风本田S7,fuel_consumption,能耗/油耗,13,13,-0.07692307692307693,0.46153846153846156,0.38461538461538464,本田,SUV
东风本田S7,intelligence,智能化,20,20,-0.8,0.85,0.05,本田,SUV
东风本田S7,interior,内饰,7,7,0.42857142857142855,0.14285714285714285,0.5714285714285714,本田,SUV
东风本田S7,power,动力,6,6,1.0,0.0,1.0,本田,SUV
东风本田S7,space,空间,18,18,0.9444444444444444,0.0,0.9444444444444444,本田,SUV
东风本田S7,value,性价比,13,13,0.6153846153846154,0.07692307692307693,0.6923076923076923,本田,SUV
丰田bZ3,appearance,外观,36,36,0.5833333333333334,0.1111111111111111,0.6944444444444444,丰田,轿车
丰田bZ3,comfort,舒适性,24,24,0.08333333333333333,0.2916666666666667,0.375,丰田,轿车
丰田bZ3,configuration,配置,24,24,-0.08333333333333333,0.4583333333333333,0.375,丰田,轿车
丰田bZ3,control,操控,22,22,0.2727272727272727,0.22727272727272727,0.5,丰田,轿车
丰田bZ3,fuel_consumption,能耗/油耗,39,39,0.15384615384615385,0.1282051282051282,0.28205128205128205,丰田,轿车
丰田bZ3,intelligence,智能化,14,14,0.14285714285714285,0.42857142857142855,0.5714285714285714,丰田,轿车
丰田bZ3,interior,内饰,23,23,-0.30434782608695654,0.6086956521739131,0.30434782608695654,丰田,轿车
丰田bZ3,power,动力,17,17,0.6470588235294118,0.11764705882352941,0.7647058823529411,丰田,轿车
丰田bZ3,space,空间,23,23,0.4782608695652174,0.17391304347826086,0.6521739130434783,丰田,轿车
丰田bZ3,value,性价比,15,15,0.6,0.13333333333333333,0.7333333333333333,丰田,轿车
丰田bZ5,appearance,外观,43,43,0.8372093023255814,0.023255813953488372,0.8604651162790697,丰田,SUV
丰田bZ5,comfort,舒适性,18,18,0.16666666666666666,0.3333333333333333,0.5,丰田,SUV
丰田bZ5,configuration,配置,24,23,0.5652173913043478,0.17391304347826086,0.7391304347826086,丰田,SUV
丰田bZ5,control,操控,23,21,0.47619047619047616,0.19047619047619047,0.6666666666666666,丰田,SUV
丰田bZ5,fuel_consumption,能耗/油耗,23,23,0.34782608695652173,0.13043478260869565,0.4782608695652174,丰田,SUV
丰田bZ5,intelligence,智能化,27,27,0.037037037037037035,0.4444444444444444,0.48148148148148145,丰田,SUV
丰田bZ5,interior,内饰,20,19,0.2631578947368421,0.2631578947368421,0.5263157894736842,丰田,SUV
丰田bZ5,power,动力,18,18,0.7777777777777778,0.05555555555555555,0.8333333333333334,丰田,SUV
丰田bZ5,space,空间,30,29,0.6206896551724138,0.13793103448275862,0.7586206896551724,丰田,SUV
丰田bZ5,value,性价比,13,13,0.5384615384615384,0.15384615384615385,0.6923076923076923,丰田,SUV
五菱佳辰,appearance,外观,10,10,0.9,0.0,0.9,五菱,MPV
五菱佳辰,comfort,舒适性,9,8,-0.25,0.625,0.375,五菱,MPV
五菱佳辰,configuration,配置,10,10,1.0,0.0,1.0,五菱,MPV
