series_id,series_name,brand,category,total_months,longest_run_months,interrupt_count,longest_gap_months,first_year,last_year
30627,悦意03,奔腾,SUV,54,54,0,0,2022,2026
30455,丰田bZ5,丰田,SUV,54,54,0,0,2022,2026
30631,睿蓝8,睿蓝汽车,MPV,54,54,0,0,2022,2026
30632,奥迪A5L,奥迪,轿车,54,54,0,0,2022,2026
30636,AION UT,埃安,轿车,54,54,0,0,2022,2026
30642,捷达VA7,捷达,轿车,54,54,0,0,2022,2026
30647,尊界S800,鸿蒙智行,轿车,54,54,0,0,2022,2026
30652,奥迪Q6L Sportback e-tron,奥迪,SUV,54,54,0,0,2022,2026
30654,至境世家,别克,MPV,54,54,0,0,2022,2026
30655,日产N7,日产,轿车,54,54,0,0,2022,2026
30661,奥迪E5 Sportback,奥迪AUDI,轿车,54,54,0,0,2022,2026
30672,铂智7,丰田,轿车,54,54,0,0,2022,2026
30673,firefly萤火虫,firefly萤火虫,轿车,54,54,0,0,2022,2026
30703,阿维塔06,阿维塔,轿车,54,54,0,0,2022,2026
30704,海狮05EV,比亚迪,SUV,54,54,0,0,2022,2026
30459,红旗天工06,红旗,SUV,54,54,0,0,2022,2026
30454,铂智3X,丰田,SUV,54,54,0,0,2022,2026
30262,风云A9L,奇瑞风云,轿车,54,54,0,0,2022,2026
30359,秦L,比亚迪,轿车,54,54,0,0,2022,2026
30267,瑞风RF8,江淮瑞风,MPV,54,54,0,0,2022,2026
30273,海狮07EV,比亚迪,SUV,54,54,0,0,2022,2026
30301,元UP,比亚迪,SUV,54,54,0,0,2022,2026
30302,铂智4X,丰田,SUV,54,54,0,0,2022,2026
30321,蔚来ET9,蔚来,轿车,54,54,0,0,2022,2026
30322,长安X5 PLUS,长安,SUV,54,54,0,0,2022,2026
30341,极氪MIX,极氪,SUV,54,54,0,0,2022,2026
30346,爱跑,江淮钇为,轿车,54,54,0,0,2022,2026
30347,电动MINI COOPER,MINI,轿车,54,54,0,0,2022,2026
30352,仰望U7,仰望,轿车,54,54,0,0,2022,2026
30355,红旗天工08,红旗,SUV,54,54,0,0,2022,2026
30356,智己L6,智己汽车,轿车,54,54,0,0,2022,2026
30358,领克07,领克,轿车,54,54,0,0,2022,2026
30365,长安UNI-Z新能源,长安,SUV,54,54,0,0,2022,2026
30453,红旗天工05,红旗,轿车,54,54,0,0,2022,2026
30372,小鹏P7+,小鹏,轿车,54,54,0,0,2022,2026
30373,红旗HS7 PHEV,红旗,SUV,54,54,0,0,2022,2026
30374,海豹06DM-i,比亚迪,轿车,54,54,0,0,2022,2026
30388,电动MINI ACEMAN,MINI,SUV,54,54,0,0,2022,2026
30392,享界S9,鸿蒙智行,轿车,54,54,0,0,2022,2026
30393,星海S7,东风风行,轿车,54,54,0,0,2022,2026
30413,别克GL8新能源,别克,MPV,54,54,0,0,2022,2026
30414,腾势Z9GT,腾势,轿车,54,54,0,0,2022,2026
30423,广汽本田P7,本田,SUV,54,54,0,0,2022,2026
30424,东风本田S7,本田,SUV,54,54,0,0,2022,2026
30431,奥迪Q6L e-tron,奥迪,SUV,54,54,0,0,2022,2026
30439,海豹06GT,比亚迪,轿车,54,54,0,0,2022,2026
30443,马自达EZ-6,马自达,轿车,54,54,0,0,2022,2026
30705,海豹05DM-i,比亚迪,轿车,54,54,0,0,2022,2026
30706,悦意07,奔腾,SUV,54,54,0,0,2022,2026
30707,海狮07DM-i,比亚迪,SUV,54,54,0,0,2022,2026
31114,smart精灵#6 EHD,smart,轿车,54,54,0,0,2022,2026
30935,银河星耀6,吉利银河,轿车,54,54,0,0,2022,2026
30944,深蓝L06,深蓝汽车,轿车,54,54,0,0,2022,2026
30949,睿蓝蓝气球,睿蓝汽车,轿车,54,54,0,0,2022,2026
30957,昊铂A800,昊铂,轿车,54,54,0,0,2022,2026
30983,零跑Lafa5,零跑汽车,轿车,54,54,0,0,2022,2026
30990,埃尚,埃尚,轿车,54,54,0,0,2022,2026
30999,星海X5,东风风行,SUV,54,54,0,0,2022,2026
31010,银河星耀7,吉利银河,轿车,54,54,0,0,2022,2026
31015,岚图追光L,岚图汽车,轿车,54,54,0,0,2022,2026
31051,锐胜M8新能源,北汽制造,MPV,54,54,0,0,2022,2026
31087,极狐问道V9,ARCFOX极狐,MPV,54,54,0,0,2022,2026
31093,银河V900,吉利银河,MPV,54,54,0,0,2022,2026
31096,智界V9,鸿蒙智行,MPV,54,54,0,0,2022,2026
